entity,owned_domain,site_role,release,release_date,model,submodel,board_family,install_method,sanitized_filename,public_owned_url,sha256,byte_size,release_state,observed_at,provenance_boundary,limitations
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,l7,,xil,nand,vnish-l7-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-l7-xil-nand-v1.3.4.tar.gz,1e46b8139e44d993f365352b680715dcfad040366d980d8636eefcdc18f41c62,16185101,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,l9,,aml,nand,vnish-l9-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-l9-aml-nand-v1.3.4.tar.gz,459435cbb4a20f8f135552a9af9924e16d255da1628ccb6d638a2cb86bb3c35d,21537920,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,l9,,cv,nand,vnish-l9-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-l9-cv-nand-v1.3.4.tar.gz,afdf2126fa7a6e40e0fd5b918c7cf9ca9b2561870670ad35816bfa703a47a03e,12366461,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19,,xil,nand,vnish-s19-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19-xil-nand-v1.3.4.tar.gz,931fd3551dcb7d264e45180397f031c3b3a642f07150159e0b343d6b1837f035,16181712,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19-126,,aml,nand,vnish-s19-126-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19-126-aml-nand-v1.3.4.tar.gz,1b81f501c9ddb453d3b773df50e9f8c0fcc73bdd17ed21eaf5a0d620701adb78,21550755,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19-126,,cv,nand,vnish-s19-126-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19-126-cv-nand-v1.3.4.tar.gz,78877a6c1cfd6083e5ea92969efadbbf143015ae4227c7edfd2e136fd2a45210,12378470,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19-88,,aml,nand,vnish-s19-88-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19-88-aml-nand-v1.3.4.tar.gz,fc91465dbedbf4fed85b15f5cff4bcfb83247c877fbf07ed940c3b2f55f3c33a,21549160,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19-88,,bb,nand,vnish-s19-88-bb-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19-88-bb-nand-v1.3.4.tar.gz,a7a3e49237491f16e997aab43d9649cac22e2fd60bf2bb21c68118b0581fdd2d,19264796,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19-88,,cv,nand,vnish-s19-88-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19-88-cv-nand-v1.3.4.tar.gz,9ee66b368148f5750e9c9a9ceca8edc051f1591caf236dd4336809522919b970,12377753,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19-88,,xil,nand,vnish-s19-88-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19-88-xil-nand-v1.3.4.tar.gz,e864e3b32ff7ffac04dded716a1a768899ac75d31916af8e5ca792c5481fc828,16180554,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
